comparison,backbone,dataset,axis,seed,left_method,right_method,left_artifact,right_artifact,parameter_match_pct,pair_contract_valid,pair_validity,pair_artifacts_verified,pair_review_status,pair_reviewed_by,pair_review_date,pair_review_notes
aligned_vs_axis_blind,CBraMod,faced,channel,42,interaction_aligned,axis_blind,faced_evalmode_frozen_channel_s42_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s42_20260804,0.02346494726559803,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,patch,42,interaction_aligned,axis_blind,faced_evalmode_frozen_patch_s42_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s42_20260804,0.02346494726559803,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,42,interaction_aligned,axis_blind,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s42_20260804,0.0002638872453237039,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,channel,1024,interaction_aligned,axis_blind,faced_evalmode_frozen_channel_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,0.02346494726559803,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,patch,1024,interaction_aligned,axis_blind,faced_evalmode_frozen_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,0.02346494726559803,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,1024,interaction_aligned,axis_blind,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s1024_20260804,0.0002638872453237039,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,channel,3407,interaction_aligned,axis_blind,faced_evalmode_frozen_channel_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,0.02346494726559803,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,patch,3407,interaction_aligned,axis_blind,faced_evalmode_frozen_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,0.02346494726559803,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,faced,channel_patch,3407,interaction_aligned,axis_blind,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_axis_blind_s3407_20260804,0.0002638872453237039,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,isruc,channel,42,interaction_aligned,axis_blind,isruc_cbramod_frozen_channel_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,0.13924991488589167,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,isruc,patch,42,interaction_aligned,axis_blind,isruc_cbramod_frozen_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,0.13924991488589167,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,isruc,channel_patch,42,interaction_aligned,axis_blind,isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_axisblind_s42_lr2e-4_b8_e20,0.0015660072036331367,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
aligned_vs_axis_blind,CBraMod,isruc,channel,3407,interaction_aligned,axis_blind,isruc_cbramod_alpha0_frozen_channel_r32_s3407,isruc_cbramod_alpha0_axisblind_s3407,0.22631806761178358,True,PAIR_ARTIFACT_UNVERIFIED,False,UNREVIEWED,,,
